,id,title,type,status,yes,no,veto,abstain,no_vote,count,most_vote,most_vote_ratio
49,564,Add PICAOSMO to External Incentive Matching Program,Text,PASSED,36.0,6.0,0.0,48.0,29.0,119.0,abstain,0.40336134453781514
50,561,Signalling proposal for adding LOREOSMO to External Incentive Matching program,Text,PASSED,63.0,3.0,0.0,28.0,27.0,121.0,yes,0.5206611570247934
51,553,Launching ERIS Protocol on Osmosis,ParameterChange,PASSED,67.0,1.0,0.0,21.0,30.0,119.0,yes,0.5630252100840336
52,548,Allow Levana Contracts upload,ParameterChange,PASSED,48.0,11.0,0.0,20.0,37.0,116.0,yes,0.41379310344827586
53,544,Community Enabled Analytics Program Renewal July 2023  June 2024,CommunityPoolSpend,REJECTED,4.0,50.0,0.0,31.0,33.0,118.0,no,0.423728813559322
54,530,Introduce a Protocol Taker Fee for Osmosis swaps,Text,PASSED,64.0,17.0,0.0,13.0,26.0,120.0,yes,0.5333333333333333
55,528,Decide Whats Shown on the Main Osmosis Website,Text,REJECTED,10.0,46.0,0.0,36.0,27.0,119.0,no,0.3865546218487395
56,527,Upload Suitdrop Redeem Contract,StoreCode,PASSED,53.0,2.0,0.0,26.0,36.0,117.0,yes,0.452991452991453
57,526,Allow Squid contracts to be uploaded,ParameterChange,PASSED,57.0,1.0,0.0,14.0,42.0,114.0,yes,0.5
58,523,Signaling Proposal for WHALEOSMO External Incentive Match Extension ,Text,PASSED,31.0,15.0,0.0,39.0,33.0,118.0,abstain,0.3305084745762712
59,520,Upload Alpine Pay Core Contract,Text,REJECTED,9.0,40.0,1.0,43.0,26.0,119.0,abstain,0.36134453781512604
60,519,Alternative Signalling Proposal for use of ProtoRev Funds,Text,REJECTED,15.0,43.0,1.0,31.0,29.0,119.0,no,0.36134453781512604
61,518,Match External Incentives for qOSMOOSMO pool 956,Text,PASSED,71.0,4.0,0.0,20.0,25.0,120.0,yes,0.5916666666666667
62,516,Signaling Proposal for use of ProtoRev Funds,Text,REJECTED,7.0,67.0,0.0,16.0,29.0,119.0,no,0.5630252100840336
63,512,Suitdrop Commonwealth Proposal,StoreCode,PASSED,55.0,4.0,0.0,26.0,33.0,118.0,yes,0.4661016949152542
64,505,ARB Bootstrapping liquidity incentives,UpdatePoolIncentives,PASSED,64.0,1.0,0.0,18.0,35.0,118.0,yes,0.5423728813559322
65,500,ShapeShift Bounty Completion,CommunityPoolSpend,PASSED,58.0,6.0,0.0,25.0,29.0,118.0,yes,0.4915254237288136
66,498,Signalling Proposal for OSMOFIL incentivised pool,Text,PASSED,52.0,1.0,0.0,32.0,33.0,118.0,yes,0.4406779661016949
67,497,Signalling Proposal for LIKEOSMO External Incentive Match Renewal,Text,REJECTED,17.0,24.0,0.0,40.0,36.0,117.0,abstain,0.3418803418803419
68,492,Signalling Proposal for JKLOSMO Incentivized Liquidity Pool ,Text,PASSED,32.0,21.0,0.0,39.0,28.0,120.0,abstain,0.325
69,482,Signalling Proposal for OSMONCT incentives,Text,PASSED,54.0,0.0,0.0,26.0,37.0,117.0,yes,0.46153846153846156
70,480,Signaling Proposal for WHALEOSMO External Incentive Match,Text,PASSED,62.0,3.0,0.0,25.0,29.0,119.0,yes,0.5210084033613446
71,475,Upload Autonomy Network LimitsStops Wrapper Contract,StoreCode,PASSED,53.0,0.0,2.0,27.0,36.0,118.0,yes,0.4491525423728814
72,474,Upload Autonomy Network Registry Stake Contract V2,StoreCode,PASSED,50.0,0.0,2.0,28.0,38.0,118.0,yes,0.423728813559322
73,473,Allow Kado Router Contracts to be Uploaded,ParameterChange,PASSED,58.0,1.0,0.0,30.0,30.0,119.0,yes,0.48739495798319327
74,464,Match External Incentives to extended STARSOSMO pair,Text,PASSED,63.0,7.0,0.0,33.0,21.0,124.0,yes,0.5080645161290323
75,461,Osmosis Support Lab Funding Round March  August 2023,CommunityPoolSpend,PASSED,69.0,4.0,0.0,16.0,30.0,119.0,yes,0.5798319327731093
76,457,Signalling Proposal for OSMOCMST incentives,Text,PASSED,42.0,3.0,0.0,44.0,29.0,118.0,abstain,0.3728813559322034
77,451,Whitelist Apollo Vaults for stATOMATOM,ParameterChange,PASSED,65.0,0.0,1.0,25.0,28.0,119.0,yes,0.5462184873949579
78,449,Reevaluation of NGMOSMO Incentives,Text,PASSED,60.0,1.0,0.0,25.0,33.0,119.0,yes,0.5042016806722689
79,447,Upload CW721 Base Contract,StoreCode,PASSED,49.0,6.0,0.0,32.0,31.0,118.0,yes,0.4152542372881356
80,444,Composability Incentives Category,UpdatePoolIncentives,PASSED,49.0,1.0,0.0,32.0,36.0,118.0,yes,0.4152542372881356
81,442,Signaling Proposal  Recognise CMST as a Stablecoin asset,Text,PASSED,53.0,1.0,0.0,29.0,35.0,118.0,yes,0.4491525423728814
82,436,Whitelist Apollo Vaults for USDC and ATOM,ParameterChange,PASSED,65.0,0.0,0.0,19.0,34.0,118.0,yes,0.5508474576271186
83,431,Signaling Proposal  Define New Stable Asset IST and incentivize stable swap pool DAI  CMST  IST with OSMO rewards,Text,PASSED,34.0,10.0,2.0,30.0,40.0,116.0,no_vote,0.3448275862068966
84,430,Signaling Proposal for ISTOSMO External Incentive Match,Text,PASSED,40.0,11.0,2.0,28.0,36.0,117.0,yes,0.3418803418803419
85,426,BUSD bootstrapping liquidity incentives,UpdatePoolIncentives,PASSED,70.0,1.0,0.0,17.0,30.0,118.0,yes,0.5932203389830508
86,424,Signaling Proposal for ATOMstkATOM Stableswap Pool External Incentive Match,Text,PASSED,32.0,17.0,0.0,38.0,31.0,118.0,abstain,0.3220338983050847
87,421,ProtoRev Revenue Allocation,Text,PASSED,57.0,2.0,0.0,25.0,34.0,118.0,yes,0.4830508474576271
88,420,OSMOWYND Token Swap for Protocol Liquidity,CommunityPoolSpend,PASSED,49.0,7.0,0.0,37.0,26.0,119.0,yes,0.4117647058823529
89,419,Enable Superfluid Staking on OSMOSTRD,SuperfluidAssets,PASSED,66.0,0.0,0.0,23.0,29.0,118.0,yes,0.559322033898305
90,417,Allow Apollo DAO LP Vault Contracts to be Uploaded,ParameterChange,PASSED,69.0,9.0,0.0,14.0,27.0,119.0,yes,0.5798319327731093
91,406,Regular Incentive adjustment for 20230123,UpdatePoolIncentives,REJECTED,24.0,16.0,1.0,47.0,31.0,119.0,abstain,0.3949579831932773
92,403,Recognise BUSD as a Stablecoin asset,Text,PASSED,82.0,1.0,0.0,21.0,22.0,126.0,yes,0.6507936507936508
93,402,Recognise USDT as a Stablecoin asset,Text,PASSED,82.0,3.0,0.0,19.0,22.0,126.0,yes,0.6507936507936508
94,400,Phase out 1 and 7 day liquidity bonds,Text,PASSED,56.0,10.0,1.0,32.0,24.0,123.0,yes,0.45528455284552843
95,394,Enable Superfluid Staking on OSMOHUAHUA,SuperfluidAssets,PASSED,58.0,4.0,0.0,16.0,38.0,116.0,yes,0.5
96,390,Reduce incentives on established Major and Stable category pools,UpdatePoolIncentives,PASSED,60.0,1.0,2.0,21.0,34.0,118.0,yes,0.5084745762711864
97,389,Remove NonOSMO pool incentives,Text,PASSED,52.0,3.0,1.0,28.0,34.0,118.0,yes,0.4406779661016949
98,388,Community consent Cosmos Pay supporting OSMO,Text,REJECTED,23.0,27.0,2.0,31.0,35.0,118.0,no_vote,0.2966101694915254
99,386,WMATIC bootstrapping liquidity incentives,UpdatePoolIncentives,PASSED,65.0,5.0,0.0,16.0,32.0,118.0,yes,0.5508474576271186
