,voter,cluster_label,tsne_x,tsne_y,participation_rate
28,Inotel,1,9.4870929718,-1.7449392080000001,0.1682692307692307
29,Bi23 Labs,3,3.7396850586,14.2575016022,0.5048076923076923
30,kytzu,7,6.2793345451,-5.2246890068,0.3461538461538461
31,ovrclk,2,15.0734577179,-17.0221710205,0.0096153846153846
32,Secure Secrets,6,6.678896904,-11.1702547073,0.3413461538461538
33,POSTHUMAN  StakeDrop,3,-5.3036317825,10.7906322479,0.903846153846154
34,Ping,3,-0.8923693895,15.6921539307,0.5144230769230769
35,Notional,3,7.291182518,9.8340148926,0.7932692307692307
36,jabbey,3,-9.3919487,6.9147062302,0.6346153846153846
37,0basevc,3,-13.1186084747,9.6196756363,0.9951923076923076
38,deprecated,2,12.5819530487,-5.5181927681,0.0721153846153846
39,Sr20de,3,1.7870255709,10.1416759491,0.0384615384615384
40,Smart Stake ,3,-9.908821106,14.8194007874,0.8990384615384616
41,KAMALMAQUINA,3,1.5977083445,11.0695962906,0.0192307692307692
42, block pane ,3,-12.3982076645,3.0420525074,0.6057692307692307
43,Redline Validation,3,-10.8748846054,3.8259711266,0.0048076923076923
44,DSFDF,3,1.9053254128000001,11.2321271896,0.0192307692307692
45,WhisperNode ,3,-8.0026693344,12.6421337128,0.8701923076923077
46,High Stakes ,3,0.5475167036,11.6872119904,0.0240384615384615
47,openbitlab,3,1.3194255829000001,13.3678884506,0.0144230769230769
48, Consensus One,3,1.8008186817,11.8489723206,0.048076923076923
49,Four Moons,3,2.6378657818,11.7879800797,0.0432692307692307
50,Terra Nodes,3,1.8843380213,11.4535942078,0.0240384615384615
51,fscosmosis1,3,1.601249218,11.1061029434,0.0096153846153846
52,StakeTown,3,-9.7091302872,4.5283002853,0.0384615384615384
53,MultiChain Ventures,3,0.63713485,10.5182380676,0.0673076923076923
54,MediBloc,3,-1.1712491512,11.0578842163,0.0048076923076923
55,DPOSelec,3,1.3263732195,11.4570131302,0.0240384615384615
56,Node Guardians,3,-11.1057920456,9.8977928162,0.4951923076923077
57,Hathor Node,3,-0.8594710231,11.7858257294,0.7403846153846154
