voter,dydx_6,dydx_24,dydx_44,dydx_47,dydx_48,dydx_138,dydx_142,dydx_144,dydx_154,dydx_156,dydx_157,dydx_164,dydx_165,dydx_175,dydx_176,cluster_label
coinhallorg ,YES,YES,ABSTAIN,YES,ABSTAIN,ABSTAIN,YES,ABSTAIN,,ABSTAIN,YES,YES,ABSTAIN,YES,ABSTAIN,6
Kiln,ABSTAIN,NO,YES,YES,ABSTAIN,ABSTAIN,YES,YES,ABSTAIN,YES,YES,NO,ABSTAIN,YES,YES,6
Luganodes,YES,,YES,YES,YES,,,,,YES,NO,,ABSTAIN,,YES,7
InfStones,,,,YES,,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,YES,YES,NO_VOTE,NO_VOTE,NO_VOTE,YES,6
CEXIO Validator,,,,,,NO,YES,YES,ABSTAIN,YES,ABSTAIN,ABSTAIN,ABSTAIN,YES,YES,7
Ex Machina,ABSTAIN,YES,YES,NO,NO,,,,,ABSTAIN,ABSTAIN,NO,,YES,,4
purple fog,ABSTAIN,YES,YES,NO,NO,,,,,,,,,,,0
Validation Cloud,ABSTAIN,YES,YES,ABSTAIN,ABSTAIN,ABSTAIN,YES,YES,YES,ABSTAIN,ABSTAIN,NO,ABSTAIN,YES,YES,2
Smart Stake   5 max,NO,ABSTAIN,YES,YES,NO,,,,,,,,,,,0
Tan,NO,YES,,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,4
StakeCraft,ABSTAIN,YES,,,,,,,,,,,,,,5
Decommissioned  Delegate Away,NO,,,,,,,,,,,,,,,2
CryptoCrew X Defi Dojo,NO,YES,ABSTAIN,ABSTAIN,ABSTAIN,NO,ABSTAIN,NO,NO,ABSTAIN,ABSTAIN,NO,NO,ABSTAIN,ABSTAIN,4
Orbital Command,ABSTAIN,,,,,,,,,,,,,,,6
    Kingnodes ,NO,YES,YES,ABSTAIN,NO,ABSTAIN,YES,ABSTAIN,YES,ABSTAIN,ABSTAIN,NO,,YES,YES,4
0 Fee until 2025  Cosmic Validator,YES,YES,YES,YES,ABSTAIN,ABSTAIN,YES,YES,ABSTAIN,YES,YES,,,,,0
 Silk Nodes,NO,YES,YES,ABSTAIN,NO,NO_VOTE,NO_VOTE,YES,YES,NO,YES,NO,YES,NO,YES,4
  RHINO,NO,YES,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,ABSTAIN,YES,YES,NO_VOTE,NO_VOTE,NO,YES,YES,ABSTAIN,4
LTP,YES,YES,,,,,,,,,,,,,,2
  AutoStake  StakeDrops,YES,YES,ABSTAIN,YES,NO,YES,YES,YES,YES,ABSTAIN,ABSTAIN,NO,YES,,,4
Pareto,NO_VOTE,YES,,YES,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO,YES,NO_VOTE,NO_VOTE,4
Sunsetting please redelegate Forbole,NO_VOTE,YES,,,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,4
Crypto Learning Club  dYdX Validator,NO_VOTE,YES,YES,NO,YES,YES,NO,YES,YES,NO,NO,NO,ABSTAIN,YES,ABSTAIN,4
Cosmic Nexus,NO_VOTE,YES,,,,YES,YES,YES,YES,NO,NO,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,4
BwareLabs,,YES,,,,,,,,,,,,,,6
DragonStake ,,,,,,YES,NO,YES,,YES,YES,NO,YES,YES,NO,4
StableLab,,NO,NO,YES,ABSTAIN,,,,,,,,,,,0
Staker Space,,YES,,,,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,6
Ledger by Meria,,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,4
santorini,,YES,ABSTAIN,NO,NO,,,ABSTAIN,,ABSTAIN,ABSTAIN,NO,ABSTAIN,,,4
Skycatcher,,,YES,,,,,,,NO,YES,,,YES,YES,4
XMG Capital,,,YES,YES,NO,NO_VOTE,NO_VOTE,,NO_VOTE,,,,NO_VOTE,YES,ABSTAIN,4
Nodeplus,,,YES,YES,NO,YES,NO_VOTE,YES,YES,ABSTAIN,ABSTAIN,NO,YES,YES,YES,4
AUDITone,,,,,,,,,NO_VOTE,,,,NO_VOTE,,NO_VOTE,6
Polychain,,,,,,,,,,ABSTAIN,ABSTAIN,NO,,YES,,4
OWALLET,,,,,,,,,,,,NO,,ABSTAIN,YES,2
